Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2207,1.0,DCE,6300.0,6319.0,6191.0,6221.0,138835,8673107300,126455,6247.0,0.12,0.12,6,10,1.0,20220714,6759.0,5759.0,20210715,202207,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2206,1.0,SHFE,5111.0,5177.0,5106.0,5127.0,416422,32068732500,449554,5134.0,0.12,0.12,3,15,1.0,20220615,5586.0,4571.0,20210616,202206,210000-023000;090000-101500;103000-113000;133000-150000
al,al2205,1.0,SHFE,23260.0,23465.0,23130.0,23190.0,243142,28306846100,242634,23280.0,0.12,0.12,4,5,5.0,20220516,25275.0,20680.0,20210518,202205,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP205,1.0,CZCE,9811.0,9964.0,9740.0,9830.0,84835,8362452700,67582,9857.0,0.18,0.18,2,10,1.0,20220518,10545.0,8803.0,20210520,202205,090000-101500;103000-113000;133000-150000
au,au2206,1.0,SHFE,396.5,400.96,396.3,399.02,111485,44406765000,142185,398.32,0.1,0.1,3,1000,0.02,20220615,425.96,362.86,20210518,202206,210000-023000;090000-101500;103000-113000;133000-150000
b,b2205,1.0,DCE,5334.0,5474.0,5304.0,5304.0,54372,2932866400,31535,5394.0,0.12,0.12,6,10,1.0,20220518,5720.0,4874.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2205,1.0,DCE,,,,410.6,0,0,0,410.6,0.4,0.4,2,500,0.05,20220518,431.1,390.1,20210520,202205,090000-101500;103000-113000;133000-150000
bc,bc2205,1.0,SHFE,65960.0,66890.0,65960.0,66520.0,9397,3125366900,8354,66510.0,0.12,0.12,4,5,10.0,20220516,72280.0,59130.0,20210518,202205,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2206,1.0,SHFE,3820.0,3895.0,3804.0,3862.0,579576,22305541500,362862,3848.0,0.15,0.15,6,10,1.0,20220615,4193.0,3228.0,20200616,202206,210000-230000;090000-101500;103000-113000;133000-150000
c,c2205,1.0,DCE,2916.0,2923.0,2892.0,2902.0,386509,11236369400,949103,2907.0,0.12,0.12,6,10,1.0,20220518,3099.0,2695.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF205,1.0,CZCE,21605.0,21640.0,21525.0,21600.0,119682,12917731500,302834,21590.0,0.1,0.1,6,5,5.0,20220518,23370.0,19510.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
