Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5552.0,5581.0,5522.0,5573.0,88363,4906701920,135885,5552.0,0.12,0.12,6,10,1.0,20230517,6014.0,5124.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2306,1.0,SHFE,5200.0,5205.0,5005.0,5026.0,1326967,101133370575,542159,5080.0,0.12,0.12,3,15,1.0,20230615,5801.0,4746.0,20220616,202306,210000-023000;090000-101500;103000-113000;133000-150000
al,al2303,1.0,SHFE,19080.0,19115.0,18830.0,19060.0,184827,17521430250,184183,18955.0,0.12,0.12,4,5,5.0,20230315,20970.0,17155.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,8937.0,8975.0,8703.0,8777.0,178140,1571194800,202260,8820.0,0.1,0.1,2,10,1.0,20230517,9697.0,8095.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2304,1.0,SHFE,419.34,419.34,412.8,413.8,191854,79561047480,161566,414.68,0.1,0.1,3,1000,0.02,20230417,455.0,387.58,20220316,202304,210000-023000;090000-101500;103000-113000;133000-150000
b,b2303,1.0,DCE,4883.0,4949.0,4883.0,4922.0,43182,2124355310,26254,4919.0,0.09,0.09,6,10,1.0,20230314,5282.0,4500.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2302,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230214,440.0,360.0,20220221,202302,090000-101500;103000-113000;133000-150000
bc,bc2304,1.0,SHFE,61400.0,61660.0,60800.0,60990.0,12309,3766162300,13147,61190.0,0.12,0.12,4,5,10.0,20230417,67720.0,55410.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3854.0,3874.0,3743.0,3832.0,297344,11310584780,342094,3803.0,0.15,0.15,6,10,1.0,20230615,4335.0,3338.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2833.0,2837.0,2786.0,2788.0,417486,11728172910,284875,2809.0,0.12,0.12,6,10,1.0,20230314,3060.0,2608.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,15050.0,15090.0,14720.0,14925.0,558093,8315585700,739587,14900.0,0.07,0.07,6,5,5.0,20230517,15900.0,14100.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10675.0,10810.0,10655.0,10730.0,28099,301642765,57621,10735.0,0.12,0.12,2,5,5.0,20230517,11750.0,9610.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2303,1.0,DCE,2906.0,2908.0,2859.0,2863.0,138112,3970561860,154398,2874.0,0.09,0.09,6,10,1.0,20230314,3107.0,2701.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2303,1.0,SHFE,68870.0,68980.0,68140.0,68340.0,89845,30770792850,165143,68490.0,0.12,0.12,4,5,10.0,20230315,75740.0,61970.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY305,1.0,CZCE,22270.0,22365.0,21985.0,22305.0,3317,73554475,3828,22175.0,0.07,0.07,6,5,5.0,20230517,23640.0,20960.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2303,1.0,DCE,8511.0,8533.0,8304.0,8357.0,219761,9221490090,178759,8392.0,0.12,0.12,6,5,1.0,20230328,9353.0,7653.0,20220329,202303,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4222.0,4260.0,4178.0,4220.0,286844,12092825280,360412,4215.0,0.12,0.12,6,10,1.0,20230526,4678.0,3828.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2303,1.0,DCE,1283.0,1287.5,1281.0,1285.0,350,4496865,1185,1284.5,0.1,0.1,2,10,0.5,20230314,1348.0,1220.0,20220315,202303,090000-101500;103000-113000;133000-150000
FG,FG305,1.0,CZCE,1576.0,1587.0,1554.0,1568.0,835064,1311885544,907626,1571.0,0.09,0.09,6,20,1.0,20230517,1700.0,1448.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2305,1.0,SHFE,2590.0,2608.0,2514.0,2548.0,1079295,27595187800,462442,2556.0,0.15,0.15,6,10,1.0,20230428,2930.0,2255.0,20220505,202305,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2305,1.0,SHFE,4098.0,4118.0,4040.0,4095.0,393223,16026880220,796754,4075.0,0.13,0.13,6,10,1.0,20230515,4502.0,3609.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
i,i2305,1.0,DCE,850.0,858.0,835.0,853.5,727817,61585929250,843114,846.0,0.13,0.13,6,100,0.5,20230517,939.0,753.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2302,1.0,CFFEX,6315.8,6333.8,6270.2,6312.2,39926,50309116240,63229,6305.2,0.14,0.14,11,200,0.2,20230217,6977.6,5709.2,20221219,202302,093000-113000;130000-150000
IF,IF2302,1.0,CFFEX,4110.0,4111.0,4062.6,4086.6,59182,72523319160,64953,4083.4,0.12,0.12,11,300,0.2,20230217,4556.4,3728.0,20221219,202302,093000-113000;130000-150000
IH,IH2302,1.0,CFFEX,2746.0,2747.0,2717.6,2734.2,40665,33325139640,45800,2733.6,0.12,0.12,11,300,0.2,20230217,3055.0,2499.8,20221219,202302,093000-113000;130000-150000
IM,IM2302,1.0,CFFEX,6892.2,6924.6,6840.2,6893.6,30107,41426768360,39194,6883.0,0.15,0.15,11,200,0.2,20230217,7605.4,6222.6,20221219,202302,093000-113000;130000-150000
j,j2305,1.0,DCE,2750.0,2765.0,2698.5,2754.5,29674,8110446700,37447,2733.0,0.2,0.2,6,100,0.5,20230517,3154.0,2332.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2305,1.0,DCE,4462.0,4475.0,4422.0,4439.0,72456,3221722210,133886,4446.0,0.09,0.09,2,10,1.0,20230526,4822.0,4108.0,20220527,202305,090000-101500;103000-113000;133000-150000
jm,jm2305,1.0,DCE,1812.0,1836.0,1787.0,1835.5,51512,5590595040,81931,1808.5,0.2,0.2,6,60,0.5,20230517,2072.5,1532.5,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.15,0.15,2,20,1.0,20230314,3035.0,2289.0,20220315,202303,090000-101500;103000-113000;133000-150000
l,l2305,1.0,DCE,8279.0,8305.0,8165.0,8205.0,306650,12612562930,403510,8226.0,0.11,0.11,6,5,1.0,20230517,8952.0,7626.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
lh,lh2303,1.0,DCE,14300.0,14600.0,14170.0,14540.0,23963,5510142400,41060,14370.0,0.15,0.15,2,16,5.0,20230328,15285.0,13025.0,20220329,202303,090000-101500;103000-113000;133000-150000
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.15,0.15,2,20,1.0,20230314,2691.0,2029.0,20220315,202303,090000-101500;103000-113000;133000-150000
lu,lu2304,1.0,SHFE,4056.0,4075.0,3878.0,3958.0,101966,4042583520,23165,3964.0,0.15,0.15,6,10,1.0,20230331,4602.0,3543.0,20220401,202304,210000-230000;090000-101500;103000-113000;133000-150000
m,m2305,1.0,DCE,3892.0,3947.0,3886.0,3922.0,824570,32312943420,1318439,3918.0,0.1,0.1,6,10,1.0,20230517,4179.0,3561.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
MA,MA305,1.0,CZCE,2678.0,2698.0,2651.0,2677.0,1180316,3154984668,1260724,2673.0,0.08,0.08,6,10,1.0,20230517,2860.0,2484.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
