Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2301,1.0,DCE,5547.0,5599.0,5517.0,5590.0,111071,6165710300,147381,5551.0,0.12,0.12,6,10,1.0,20230117,5986.0,5100.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4802.0,4983.0,4799.0,4939.0,1165933,85889069700,421717,4911.0,0.12,0.12,3,15,1.0,20221215,5278.0,4319.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2212,1.0,SHFE,18405.0,18655.0,18375.0,18650.0,221747,20533889300,164692,18520.0,0.12,0.12,4,5,5.0,20221215,20245.0,16560.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,8429.0,8429.0,8180.0,8237.0,208338,1720455204,160939,8258.0,0.1,0.1,2,10,1.0,20230113,9215.0,7693.0,20220118,202301,090000-101500;103000-113000;133000-150000
au,au2212,1.0,SHFE,394.86,403.36,394.86,403.26,92727,37100669500,87033,400.1,0.1,0.1,3,1000,0.02,20221215,426.3,363.16,20211116,202212,210000-023000;090000-101500;103000-113000;133000-150000
b,b2212,1.0,DCE,5299.0,5322.0,5234.0,5280.0,63345,3342709820,27111,5276.0,0.09,0.09,6,10,1.0,20221214,5747.0,4897.0,20211215,202212,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2211,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221114,440.0,360.0,20211115,202211,090000-101500;103000-113000;133000-150000
bc,bc2301,1.0,SHFE,58800.0,59720.0,58700.0,59550.0,13802,4078570750,16259,59100.0,0.12,0.12,4,5,10.0,20230116,64090.0,52440.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2301,1.0,SHFE,3699.0,3707.0,3600.0,3626.0,344223,12585389010,316367,3656.0,0.15,0.15,6,10,1.0,20230116,4116.0,3169.0,20220316,202301,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2892.0,2896.0,2868.0,2871.0,309693,8916180330,644646,2879.0,0.12,0.12,6,10,1.0,20230117,3121.0,2659.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,13140.0,13210.0,12865.0,12990.0,589268,7684054720,518206,13040.0,0.09,0.09,6,5,5.0,20230113,14210.0,12100.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,11150.0,11260.0,10925.0,11245.0,15579,172459530,27124,11070.0,0.12,0.12,2,5,5.0,20230113,12345.0,10095.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,3027.0,3049.0,3011.0,3013.0,107451,3247564910,236853,3022.0,0.09,0.09,6,10,1.0,20230117,3234.0,2812.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2212,1.0,SHFE,65900.0,66740.0,65820.0,66580.0,133221,44090156650,204380,66190.0,0.12,0.12,4,5,10.0,20221215,71860.0,58790.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
