Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2203,1.0,DCE,6085.0,6142.0,6073.0,6137.0,148216,9056951500,127215,6110.0,0.12,0.12,6,10,1.0,20220314,6523.0,5557.0,20210315,202203,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2206,1.0,SHFE,4959.0,4973.0,4889.0,4926.0,547471,40422803100,521725,4922.0,0.12,0.12,3,15,1.0,20220615,5528.0,4523.0,20210616,202206,210000-023000;090000-101500;103000-113000;133000-150000
al,al2203,1.0,SHFE,21040.0,21280.0,20995.0,21055.0,288211,30450072700,206797,21130.0,0.1,0.1,4,5,5.0,20220315,22895.0,19500.0,20210316,202203,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP205,1.0,CZCE,8880.0,8928.0,8756.0,8878.0,144458,12774003500,132686,8843.0,0.15,0.15,2,10,1.0,20220518,9739.0,8129.0,20210520,202205,090000-101500;103000-113000;133000-150000
au,au2206,1.0,SHFE,377.44,378.46,375.6,377.92,103475,39032812200,125384,377.2,0.08,0.08,3,1000,0.02,20220615,400.12,354.82,20210518,202206,210000-023000;090000-101500;103000-113000;133000-150000
b,b2203,0.9713205869275233,DCE,4300.0,4344.0,4229.0,4329.0,37625,1623453700,21575,4314.0,0.09,0.09,6,10,1.0,20220314,4718.0,4020.0,20210315,202203,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2202,1.0,DCE,,,,373.3,0,0,0,373.3,0.4,0.4,2,500,0.05,20220218,410.6,336.0,20210222,202202,090000-101500;103000-113000;133000-150000
bc,bc2203,1.0,SHFE,62280.0,62500.0,61760.0,61840.0,12815,3978031900,6114,62080.0,0.1,0.1,4,5,10.0,20220315,68640.0,58470.0,20210316,202203,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2206,1.0,SHFE,3552.0,3560.0,3506.0,3546.0,459865,16259391400,492102,3534.0,0.1,0.1,6,10,2.0,20220615,3916.0,3334.0,20200616,202206,210000-230000;090000-101500;103000-113000;133000-150000
c,c2205,1.0,DCE,2738.0,2765.0,2725.0,2758.0,486024,13346118600,1194288,2745.0,0.11,0.11,6,10,1.0,20220518,2926.0,2544.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF205,1.0,CZCE,21620.0,21800.0,21560.0,21670.0,196986,21350728000,428830,21675.0,0.1,0.1,6,5,5.0,20220518,23570.0,19670.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ205,1.0,CZCE,13240.0,13305.0,13005.0,13180.0,11819,776232300,43124,13135.0,0.18,0.18,2,5,5.0,20220518,14665.0,11995.0,20210520,202205,090000-101500;103000-113000;133000-150000
cs,cs2203,1.0,DCE,3149.0,3162.0,3108.0,3156.0,148649,4661920500,135935,3136.0,0.07,0.07,6,10,1.0,20220314,3323.0,2947.0,20210315,202203,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2203,1.0,SHFE,70020.0,70140.0,69520.0,69570.0,116496,40673676700,139370,69820.0,0.1,0.1,4,5,10.0,20220315,76820.0,65430.0,20210316,202203,210000-010000;090000-101500;103000-113000;133000-150000
