Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2211,1.0,DCE,6051.0,6075.0,6007.0,6024.0,71118,4304155800,93394,6052.0,0.12,0.12,6,10,1.0,20221114,6534.0,5566.0,20211115,20231,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4380.0,4427.0,4339.0,4424.0,615011,40353971235,416766,4374.0,0.12,0.12,3,15,1.0,20221215,4798.0,3925.0,20211216,20232,210000-023000;090000-101500;103000-113000;133000-150000
al,al2211,1.0,SHFE,18430.0,18525.0,18155.0,18270.0,307519,28114703900,160841,18280.0,0.12,0.12,4,5,5.0,20221115,19765.0,16170.0,20211116,20231,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,8262.0,8350.0,8137.0,8332.0,219003,1807431759,185555,8253.0,0.12,0.12,2,10,1.0,20230113,9085.0,7433.0,20220118,20231,090000-101500;103000-113000;133000-150000
au,au2212,1.0,SHFE,387.98,391.0,387.34,390.82,89474,34811902660,146605,389.06,0.1,0.1,3,1000,0.02,20221215,419.76,357.58,20211116,20232,210000-023000;090000-101500;103000-113000;133000-150000
b,b2211,1.0,DCE,5422.0,5474.0,5381.0,5459.0,76352,4145371970,32810,5429.0,0.1,0.1,6,10,1.0,20221114,5770.0,4916.0,20211115,20231,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2210,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221021,440.0,360.0,20211022,20230,090000-101500;103000-113000;133000-150000
bc,bc2212,1.0,SHFE,54400.0,54400.0,53550.0,54140.0,14078,3798970900,9134,53970.0,0.12,0.12,4,5,10.0,20221215,58960.0,48240.0,20211216,20232,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2212,1.0,SHFE,3905.0,3941.0,3879.0,3937.0,336493,13154692870,335303,3909.0,0.17,0.17,6,10,1.0,20221215,4436.0,3279.0,20201216,20232,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2770.0,2780.0,2760.0,2773.0,254971,7065961890,785092,2771.0,0.12,0.12,6,10,1.0,20230117,2987.0,2545.0,20220118,20231,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,13400.0,13745.0,13335.0,13420.0,691561,9346446915,530600,13515.0,0.1,0.1,6,5,5.0,20230113,14565.0,12155.0,20220118,20231,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,11750.0,11860.0,11720.0,11770.0,6427,75774330,25533,11790.0,0.12,0.12,2,5,5.0,20230113,12970.0,10610.0,20220118,20231,090000-101500;103000-113000;133000-150000
cs,cs2211,1.0,DCE,2877.0,2920.0,2873.0,2911.0,127910,3706275640,212207,2897.0,0.1,0.1,6,10,1.0,20221114,3106.0,2646.0,20211115,20231,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2211,1.0,SHFE,61280.0,61410.0,60630.0,61320.0,101617,31031122300,142520,61070.0,0.12,0.12,4,5,10.0,20221115,66850.0,54700.0,20211116,20231,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,20340.0,20670.0,20260.0,20370.0,4272,87319680,3156,20440.0,0.1,0.1,6,5,5.0,20230113,22130.0,18470.0,20220118,20231,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2211,1.0,DCE,8520.0,8565.0,8438.0,8560.0,237957,10109855375,146097,8497.0,0.12,0.12,6,5,1.0,20221125,9372.0,7668.0,20211126,20231,210000-230000;090000-101500;103000-113000;133000-150000
