Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5578.0,5593.0,5546.0,5562.0,74504,4147608450,142659,5566.0,0.12,0.12,6,10,1.0,20230517,5996.0,5108.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2306,1.0,SHFE,5026.0,5034.0,4984.0,5008.0,729592,54809025105,561049,5008.0,0.12,0.12,3,15,1.0,20230615,5588.0,4572.0,20220616,202306,210000-023000;090000-101500;103000-113000;133000-150000
al,al2303,1.0,SHFE,18960.0,19160.0,18920.0,19095.0,164859,15700067875,186480,19045.0,0.12,0.12,4,5,5.0,20230315,20850.0,17055.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,8700.0,8745.0,8583.0,8631.0,155438,1345471328,187625,8656.0,0.1,0.1,2,10,1.0,20230517,9614.0,8026.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2304,1.0,SHFE,413.18,413.78,412.22,412.62,107868,44543884420,157363,412.94,0.1,0.1,3,1000,0.02,20230417,447.84,381.5,20220316,202304,210000-023000;090000-101500;103000-113000;133000-150000
b,b2303,1.0,DCE,4897.0,4912.0,4847.0,4887.0,46024,2248237760,27465,4884.0,0.09,0.09,6,10,1.0,20230314,5312.0,4526.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2302,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230214,440.0,360.0,20220221,202302,090000-101500;103000-113000;133000-150000
bc,bc2304,1.0,SHFE,60800.0,61010.0,60290.0,60980.0,9925,3012859400,12866,60710.0,0.12,0.12,4,5,10.0,20230417,67300.0,55070.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3832.0,3871.0,3805.0,3865.0,221797,8501865820,345198,3833.0,0.15,0.15,6,10,1.0,20230615,4297.0,3308.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2793.0,2799.0,2782.0,2794.0,287831,8033861700,243754,2791.0,0.12,0.12,6,10,1.0,20230314,3033.0,2585.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14935.0,15030.0,14815.0,14915.0,405017,6044878725,734013,14925.0,0.07,0.07,6,5,5.0,20230517,15795.0,14005.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10710.0,10720.0,10540.0,10690.0,24726,263208270,56686,10645.0,0.12,0.12,2,5,5.0,20230517,11810.0,9660.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2303,1.0,DCE,2865.0,2888.0,2856.0,2885.0,112641,3235805560,150511,2872.0,0.09,0.09,6,10,1.0,20230314,3075.0,2673.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2303,1.0,SHFE,68250.0,68360.0,67570.0,68260.0,76281,25940985750,162437,68010.0,0.12,0.12,4,5,10.0,20230315,75330.0,61640.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY305,1.0,CZCE,22280.0,22455.0,22225.0,22405.0,3766,84226590,3884,22365.0,0.07,0.07,6,5,5.0,20230517,23510.0,20840.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2303,1.0,DCE,8365.0,8468.0,8343.0,8404.0,158069,6640794640,173385,8402.0,0.12,0.12,6,5,1.0,20230328,9231.0,7553.0,20220329,202303,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4220.0,4235.0,4185.0,4220.0,247943,10443214810,380512,4211.0,0.12,0.12,6,10,1.0,20230526,4636.0,3794.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
