Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2301,1.0,DCE,5604.0,5604.0,5562.0,5575.0,67750,3776961280,90615,5574.0,0.12,0.12,6,10,1.0,20230117,6054.0,5158.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4790.0,4863.0,4781.0,4834.0,505523,36591164610,262683,4825.0,0.12,0.12,3,15,1.0,20221215,5307.0,4342.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2212,1.0,SHFE,18900.0,19030.0,18810.0,18875.0,147006,13915484700,152960,18930.0,0.12,0.12,4,5,5.0,20221215,20900.0,17100.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,7992.0,8040.0,7966.0,8017.0,121989,977131890,163036,8010.0,0.1,0.1,2,10,1.0,20230113,8815.0,7359.0,20220118,202301,090000-101500;103000-113000;133000-150000
au,au2302,1.0,SHFE,404.74,405.58,403.88,404.86,94354,38191286040,155423,404.76,0.1,0.1,3,1000,0.02,20230215,437.7,372.84,20220118,202302,210000-023000;090000-101500;103000-113000;133000-150000
b,b2212,1.0,DCE,5125.0,5188.0,5081.0,5167.0,41202,2118970480,15699,5142.0,0.1,0.1,6,10,1.0,20221214,5536.0,4716.0,20211215,202212,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2212,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221214,440.0,360.0,20211215,202212,090000-101500;103000-113000;133000-150000
bc,bc2301,1.0,SHFE,57530.0,57800.0,57230.0,57280.0,9705,2793997750,14449,57570.0,0.12,0.12,4,5,10.0,20230116,63960.0,52330.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2301,1.0,SHFE,3440.0,3498.0,3412.0,3456.0,369082,12747914440,313264,3453.0,0.15,0.15,6,10,1.0,20230116,3978.0,3063.0,20220316,202301,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2854.0,2865.0,2845.0,2856.0,251136,7166581790,567411,2853.0,0.12,0.12,6,10,1.0,20230117,3068.0,2614.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,13215.0,13510.0,13190.0,13425.0,438490,5853841500,396833,13350.0,0.12,0.12,6,5,5.0,20230113,14390.0,12250.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,10980.0,10990.0,10875.0,10965.0,9162,100140660,26778,10930.0,0.12,0.12,2,5,5.0,20230113,12135.0,9925.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,2988.0,2999.0,2975.0,2983.0,99113,2960415570,204952,2986.0,0.09,0.09,6,10,1.0,20230117,3184.0,2768.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2212,1.0,SHFE,64640.0,64820.0,64260.0,64410.0,81536,26345717150,121664,64620.0,0.12,0.12,4,5,10.0,20221215,71620.0,58590.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,20905.0,21485.0,20805.0,21315.0,8186,173706920,3661,21220.0,0.09,0.09,6,5,5.0,20230113,22605.0,19255.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2212,1.0,DCE,8184.0,8203.0,8038.0,8050.0,211425,8585279200,71422,8121.0,0.12,0.12,6,5,1.0,20221227,9039.0,7397.0,20211229,202212,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2301,1.0,DCE,3798.0,3832.0,3765.0,3810.0,341761,12993842400,421213,3802.0,0.12,0.12,6,10,1.0,20230125,4189.0,3429.0,20220126,202301,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2301,1.0,DCE,1235.0,1243.0,1235.0,1238.0,774,9588085,1968,1238.5,0.1,0.1,2,10,0.5,20230117,1296.0,1173.0,20220118,202301,090000-101500;103000-113000;133000-150000
FG,FG301,1.0,CZCE,1372.0,1379.0,1356.0,1364.0,615612,842157216,751011,1368.0,0.09,0.09,6,20,1.0,20230113,1481.0,1261.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2301,1.0,SHFE,2671.0,2708.0,2609.0,2659.0,580020,15398161080,331487,2654.0,0.15,0.15,6,10,1.0,20221222,3040.0,2341.0,20211224,202301,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2301,1.0,SHFE,3756.0,3806.0,3746.0,3755.0,337061,12733324630,665096,3777.0,0.13,0.13,6,10,1.0,20230116,4174.0,3347.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
i,i2301,1.0,DCE,744.0,747.5,724.0,725.0,858294,63164456450,724066,735.5,0.13,0.13,6,100,0.5,20230117,820.5,658.5,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2212,1.0,CFFEX,6200.0,6206.0,6107.8,6136.6,69925,86135711480,174229,6125.0,0.14,0.14,11,200,0.2,20221216,6827.4,5586.2,20220418,202212,093000-113000;130000-150000
IF,IF2212,1.0,CFFEX,3781.2,3819.8,3751.8,3775.8,84648,95915950200,136534,3769.0,0.12,0.12,11,300,0.2,20221216,4152.2,3397.4,20220418,202212,093000-113000;130000-150000
IH,IH2212,1.0,CFFEX,2526.4,2561.6,2508.8,2532.0,58180,44179723680,89508,2529.0,0.12,0.12,11,300,0.2,20221216,2768.0,2264.8,20220418,202212,093000-113000;130000-150000
IM,IM2212,1.0,CFFEX,6674.0,6686.8,6514.4,6557.2,51946,68654716640,65524,6545.6,0.15,0.15,11,200,0.2,20221216,7353.8,6017.0,20220722,202212,093000-113000;130000-150000
j,j2301,1.0,DCE,2712.0,2744.0,2680.0,2686.0,28482,7737512000,30073,2716.5,0.2,0.2,6,100,0.5,20230117,3128.0,2312.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2301,1.0,DCE,4390.0,4421.0,4361.0,4392.0,100271,4403289800,132228,4391.0,0.09,0.09,2,10,1.0,20230125,4685.0,3991.0,20220126,202301,090000-101500;103000-113000;133000-150000
jm,jm2301,1.0,DCE,2124.0,2149.0,2083.0,2084.5,45436,5772979950,53924,2117.5,0.2,0.2,6,60,0.5,20230117,2462.5,1820.5,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
JR,JR301,1.0,CZCE,,,,,0,0,5,2858.0,0.15,0.15,2,20,1.0,20230113,3059.0,2657.0,20220118,202301,090000-101500;103000-113000;133000-150000
l,l2301,1.0,DCE,7805.0,7853.0,7777.0,7799.0,307334,12001850100,328744,7810.0,0.11,0.11,6,5,1.0,20230117,8467.0,7213.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
lh,lh2301,1.0,DCE,20915.0,21055.0,20765.0,20895.0,14601,4887006320,46006,20915.0,0.15,0.15,2,16,5.0,20230125,22715.0,19355.0,20220126,202301,090000-101500;103000-113000;133000-150000
LR,LR301,1.0,CZCE,,,,,0,0,0,2525.0,0.15,0.15,2,20,1.0,20230113,2879.0,2171.0,20220118,202301,090000-101500;103000-113000;133000-150000
lu,lu2302,1.0,SHFE,4165.0,4270.0,4010.0,4247.0,175242,7332432590,69923,4184.0,0.15,0.15,6,10,1.0,20230116,4695.0,3614.0,20220124,202302,210000-230000;090000-101500;103000-113000;133000-150000
m,m2301,1.0,DCE,4140.0,4187.0,4139.0,4168.0,676971,28220143700,1330936,4168.0,0.1,0.1,6,10,1.0,20230117,4462.0,3802.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
MA,MA301,1.0,CZCE,2531.0,2557.0,2506.0,2542.0,1764153,4472127855,1070613,2535.0,0.08,0.08,6,10,1.0,20230113,2748.0,2388.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ni,ni2212,1.0,SHFE,196480.0,200960.0,195550.0,198230.0,79365,15779520100,54995,198820.0,0.19,0.19,4,1,10.0,20221215,231570.0,164280.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
nr,nr2301,1.0,SHFE,9320.0,9610.0,9300.0,9525.0,50525,4797892950,44208,9495.0,0.1,0.1,6,10,5.0,20230116,10170.0,8665.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
OI,OI301,1.0,CZCE,11199.0,11240.0,11082.0,11142.0,469800,5242498200,204693,11159.0,0.09,0.09,6,10,1.0,20230113,12279.0,10459.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
p,p2301,1.0,DCE,7884.0,8034.0,7714.0,7946.0,1027087,81148159020,383413,7900.0,0.12,0.12,6,10,2.0,20230117,8624.0,7056.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
pb,pb2301,1.0019096117122852,SHFE,15655.0,15815.0,15615.0,15735.0,47769,3758775800,93577,15735.0,0.14,0.14,4,5,5.0,20230116,17625.0,13850.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
