Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2207,1.0,DCE,6191.0,6248.0,6135.0,6232.0,93978,5820197000,102880,6193.0,0.12,0.12,6,10,1.0,20220714,6664.0,5678.0,20210715,202207,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2206,1.0,SHFE,5209.0,5241.0,5188.0,5235.0,405075,31675107600,471622,5213.0,0.12,0.12,3,15,1.0,20220615,5766.0,4717.0,20210616,202206,210000-023000;090000-101500;103000-113000;133000-150000
al,al2205,1.0,SHFE,21495.0,21925.0,21440.0,21850.0,217955,23699302000,156123,21745.0,0.12,0.12,4,5,5.0,20220516,23495.0,19220.0,20210518,202205,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP210,1.0,CZCE,8818.0,8940.0,8720.0,8800.0,290047,25599646700,156550,8826.0,0.1,0.1,2,10,1.0,20221021,9699.0,8097.0,20211022,202210,090000-101500;103000-113000;133000-150000
au,au2206,1.0,SHFE,404.96,406.28,402.78,405.82,113478,45938093200,161169,404.8,0.1,0.1,3,1000,0.02,20220615,437.46,372.64,20210518,202206,210000-023000;090000-101500;103000-113000;133000-150000
b,b2205,1.0,DCE,5155.0,5192.0,5085.0,5164.0,24518,1259750600,21825,5138.0,0.12,0.12,6,10,1.0,20220518,5509.0,4693.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2205,1.0,DCE,,,,410.6,0,0,0,410.6,0.4,0.4,2,500,0.05,20220518,431.1,390.1,20210520,202205,090000-101500;103000-113000;133000-150000
bc,bc2206,1.0,SHFE,66060.0,67180.0,65950.0,67050.0,8394,2795883500,11706,66610.0,0.12,0.12,4,5,10.0,20220615,72800.0,59570.0,20210616,202206,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2206,1.0,SHFE,3820.0,3914.0,3737.0,3866.0,510310,19527439900,296631,3826.0,0.15,0.15,6,10,1.0,20220615,4366.0,3361.0,20200616,202206,210000-230000;090000-101500;103000-113000;133000-150000
c,c2209,1.0,DCE,2949.0,2971.0,2942.0,2970.0,348760,10319945000,1069061,2959.0,0.12,0.12,6,10,1.0,20220915,3171.0,2703.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF205,1.0,CZCE,21500.0,21600.0,21340.0,21595.0,132021,14177419900,122181,21480.0,0.1,0.1,6,5,5.0,20220518,23460.0,19580.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ209,1.0,CZCE,11320.0,11475.0,11190.0,11425.0,10147,575266500,27720,11340.0,0.18,0.18,2,5,5.0,20220915,12515.0,10235.0,20210915,202209,090000-101500;103000-113000;133000-150000
cs,cs2207,1.0,DCE,3327.0,3363.0,3316.0,3359.0,108939,3638123100,215639,3339.0,0.09,0.09,6,10,1.0,20220714,3544.0,3082.0,20210715,202207,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2205,1.0,SHFE,73820.0,75100.0,73780.0,74970.0,67161,25036929900,164995,74550.0,0.12,0.12,4,5,10.0,20220516,81330.0,66540.0,20210518,202205,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY205,1.0,CZCE,27520.0,27635.0,27105.0,27585.0,1809,247498200,2077,27365.0,0.1,0.1,6,5,5.0,20220518,30020.0,25060.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2205,1.0,DCE,9711.0,9726.0,9470.0,9520.0,206041,9867291800,102582,9577.0,0.12,0.12,6,5,1.0,20220526,10745.0,8793.0,20210527,202205,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2205,1.0,DCE,4814.0,4897.0,4792.0,4810.0,300777,14564393800,227414,4842.0,0.12,0.12,6,10,1.0,20220526,5305.0,4341.0,20210527,202205,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2205,1.0,DCE,1300.5,1305.0,1290.5,1292.0,2636,34162000,2172,1295.5,0.1,0.1,2,10,0.5,20220518,1368.5,1238.5,20210520,202205,090000-101500;103000-113000;133000-150000
FG,FG209,1.0,CZCE,2020.0,2036.0,1980.0,1992.0,832257,33485490000,633196,2012.0,0.09,0.09,6,20,1.0,20220915,2187.0,1863.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2209,1.0,SHFE,4026.0,4237.0,4016.0,4208.0,764400,31607902800,326883,4134.0,0.15,0.15,6,10,1.0,20220831,4573.0,3520.0,20210901,202209,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2210,1.0,SHFE,5160.0,5225.0,5150.0,5198.0,383264,19883489300,614756,5187.0,0.12,0.12,6,10,1.0,20221017,5667.0,4636.0,20211018,202210,210000-230000;090000-101500;103000-113000;133000-150000
i,i2209,1.0,DCE,906.0,925.0,903.5,915.5,426805,39018813600,600647,914.0,0.15,0.15,6,100,0.5,20220915,987.5,792.5,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2205,1.0,CFFEX,6049.4,6084.6,6000.8,6018.0,71121,86006665800,100720,6035.6,0.14,0.14,11,200,0.2,20220520,6711.6,5491.6,20220321,202205,093000-113000;130000-150000
IF,IF2205,1.0,CFFEX,4160.0,4209.0,4150.8,4182.4,74925,93973528500,76695,4186.8,0.12,0.12,11,300,0.2,20220520,4618.8,3779.2,20220321,202205,093000-113000;130000-150000
IH,IH2205,1.0,CFFEX,2912.2,2955.2,2912.2,2941.4,31823,28067232540,34165,2944.4,0.12,0.12,11,300,0.2,20220520,3237.4,2649.0,20220321,202205,093000-113000;130000-150000
j,j2205,1.0,DCE,4248.0,4284.0,4179.0,4217.0,16435,6954383600,23584,4231.0,0.2,0.2,6,100,0.5,20220518,4796.0,3545.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2209,1.0,DCE,4805.0,4805.0,4765.0,4775.0,47229,2260112500,89372,4785.0,0.09,0.09,2,10,1.0,20220927,5196.0,4428.0,20210928,202209,090000-101500;103000-113000;133000-150000
jm,jm2205,1.0,DCE,3280.0,3294.0,3222.5,3239.5,15130,2964123800,29907,3265.0,0.2,0.2,6,60,0.5,20220518,3694.5,2731.5,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
JR,JR301,1.0,CZCE,,,,,0,0,15,2938.0,0.15,0.15,2,20,1.0,20230113,3144.0,2732.0,20220118,202301,090000-101500;103000-113000;133000-150000
l,l2205,1.0,DCE,8892.0,8913.0,8786.0,8829.0,261045,11561083200,125832,8857.0,0.11,0.11,6,5,1.0,20220518,9617.0,8193.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
lh,lh2205,1.0,DCE,12700.0,12765.0,12630.0,12660.0,13153,2673481700,38057,12700.0,0.15,0.15,2,16,5.0,20220526,13725.0,11695.0,20210527,202205,090000-101500;103000-113000;133000-150000
LR,LR205,1.0,CZCE,,,,,0,0,0,3003.0,0.15,0.15,2,20,1.0,20220518,3214.0,2792.0,20210520,202205,090000-101500;103000-113000;133000-150000
lu,lu2206,1.0,SHFE,5138.0,5414.0,5122.0,5396.0,41266,2178974300,10921,5280.0,0.15,0.15,6,10,1.0,20220531,5813.0,4476.0,20210601,202206,210000-230000;090000-101500;103000-113000;133000-150000
m,m2209,1.0,DCE,3928.0,3961.0,3885.0,3923.0,811646,31784061600,1250318,3916.0,0.12,0.12,6,10,1.0,20220915,4227.0,3601.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
MA,MA209,1.0107415107415108,CZCE,2910.0,2942.0,2862.0,2881.0,926244,26939138100,727117,2908.0,0.08,0.08,6,10,1.0,20220915,3122.0,2712.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
ni,ni2205,1.0,SHFE,223480.0,231000.0,223480.0,229400.0,99573,22713477000,54747,228100.0,0.19,0.19,4,1,10.0,20220516,258570.0,183430.0,20210518,202205,210000-010000;090000-101500;103000-113000;133000-150000
nr,nr2206,1.0,SHFE,11270.0,11295.0,11160.0,11185.0,21569,2420919400,42024,11220.0,0.1,0.1,6,10,5.0,20220615,12155.0,10350.0,20210616,202206,210000-230000;090000-101500;103000-113000;133000-150000
OI,OI209,1.0,CZCE,13140.0,13394.0,13123.0,13393.0,225957,30043052300,151093,13296.0,0.1,0.1,6,10,1.0,20220915,14271.0,11913.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
