Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5572.0,5600.0,5512.0,5519.0,118103,6558880720,147843,5553.0,0.12,0.12,6,10,1.0,20230517,6014.0,5124.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2306,1.0,SHFE,4951.0,4979.0,4920.0,4939.0,746178,55387248255,571580,4948.0,0.12,0.12,3,15,1.0,20230615,5467.0,4473.0,20220616,202306,210000-023000;090000-101500;103000-113000;133000-150000
al,al2303,1.0,SHFE,18575.0,18625.0,18435.0,18550.0,159276,14761455225,172516,18535.0,0.12,0.12,4,5,5.0,20230315,20610.0,16865.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,8575.0,8650.0,8460.0,8608.0,157898,1353027962,200450,8569.0,0.1,0.1,2,10,1.0,20230517,9341.0,7797.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2304,1.0,SHFE,412.5,413.52,411.12,413.08,91353,37654169520,141491,412.18,0.1,0.1,3,1000,0.02,20230417,444.92,379.02,20220316,202304,210000-023000;090000-101500;103000-113000;133000-150000
b,b2303,1.0,DCE,4804.0,4881.0,4784.0,4833.0,42992,2075864560,21925,4828.0,0.09,0.09,6,10,1.0,20230314,5231.0,4457.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2302,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230214,440.0,360.0,20220221,202302,090000-101500;103000-113000;133000-150000
bc,bc2304,1.0,SHFE,61100.0,61210.0,60460.0,60770.0,8860,2694597550,11633,60820.0,0.12,0.12,4,5,10.0,20230417,67280.0,55050.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3816.0,3875.0,3810.0,3823.0,289903,11146985850,321238,3845.0,0.15,0.15,6,10,1.0,20230615,4314.0,3321.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2763.0,2801.0,2763.0,2793.0,262651,7329018970,128737,2790.0,0.12,0.12,6,10,1.0,20230314,2989.0,2547.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14500.0,14520.0,14300.0,14315.0,447361,6446472010,717102,14410.0,0.07,0.07,6,5,5.0,20230517,15500.0,13740.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10300.0,10425.0,10260.0,10355.0,28177,291631950,53529,10350.0,0.12,0.12,2,5,5.0,20230517,11290.0,9230.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2303,1.0,DCE,2880.0,2906.0,2879.0,2891.0,114476,3311138770,72974,2892.0,0.09,0.09,6,10,1.0,20230314,3086.0,2684.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2303,1.0,SHFE,68490.0,68560.0,67800.0,68150.0,63680,21702004050,146260,68150.0,0.12,0.12,4,5,10.0,20230315,75320.0,61630.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY305,1.0,CZCE,21475.0,21585.0,21310.0,21330.0,4497,96393195,3947,21435.0,0.07,0.07,6,5,5.0,20230517,23120.0,20500.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2303,1.0,DCE,8501.0,8510.0,8340.0,8342.0,200094,8406895025,160589,8402.0,0.12,0.12,6,5,1.0,20230328,9153.0,7489.0,20220329,202303,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4172.0,4196.0,4137.0,4168.0,324894,13551675510,429854,4171.0,0.12,0.12,6,10,1.0,20230526,4548.0,3722.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2303,1.0,DCE,1260.5,1272.0,1253.0,1267.0,668,8412415,736,1259.0,0.1,0.1,2,10,0.5,20230314,1322.0,1197.0,20220315,202303,090000-101500;103000-113000;133000-150000
FG,FG305,1.0,CZCE,1542.0,1543.0,1516.0,1525.0,878761,1344504330,1040364,1530.0,0.09,0.09,6,20,1.0,20230517,1652.0,1406.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2305,1.0,SHFE,2821.0,2829.0,2772.0,2782.0,897466,25067341080,346738,2793.0,0.15,0.15,6,10,1.0,20230428,3114.0,2397.0,20220505,202305,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2305,1.0,SHFE,4140.0,4154.0,4081.0,4082.0,351812,14489742280,756374,4118.0,0.13,0.13,6,10,1.0,20230515,4596.0,3685.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
i,i2305,1.0,DCE,862.5,867.0,841.0,841.5,778607,66453149150,852473,853.0,0.13,0.13,6,100,0.5,20230517,955.0,766.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2302,1.0,CFFEX,6330.2,6387.6,6323.0,6371.2,38180,48598794600,49070,6368.6,0.14,0.14,11,200,0.2,20230217,6962.6,5697.0,20221219,202302,093000-113000;130000-150000
IF,IF2302,1.0,CFFEX,4093.8,4145.4,4085.8,4139.0,51082,63211347600,52835,4137.8,0.12,0.12,11,300,0.2,20230217,4516.6,3695.4,20221219,202302,093000-113000;130000-150000
IH,IH2302,1.0,CFFEX,2739.6,2773.8,2732.8,2769.0,36310,30046885680,37972,2766.8,0.12,0.12,11,300,0.2,20230217,3027.4,2477.0,20221219,202302,093000-113000;130000-150000
IM,IM2302,1.0,CFFEX,6968.4,7045.0,6960.2,7039.6,26143,36703421000,33371,7032.4,0.15,0.15,11,200,0.2,20230217,7665.4,6271.8,20221219,202302,093000-113000;130000-150000
j,j2305,1.0,DCE,2752.0,2760.0,2680.0,2686.5,32034,8674861650,39990,2708.0,0.2,0.2,6,100,0.5,20230517,3175.0,2347.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2305,1.0,DCE,4360.0,4360.0,4306.0,4323.0,62871,2719834540,140751,4326.0,0.09,0.09,2,10,1.0,20230526,4695.0,4001.0,20220527,202305,090000-101500;103000-113000;133000-150000
jm,jm2305,1.0,DCE,1849.5,1857.0,1784.0,1789.0,52890,5750554020,83956,1812.0,0.2,0.2,6,60,0.5,20230517,2118.5,1566.5,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.15,0.15,2,20,1.0,20230314,3035.0,2289.0,20220315,202303,090000-101500;103000-113000;133000-150000
l,l2305,1.0,DCE,8200.0,8200.0,8140.0,8145.0,298713,12200911615,378479,8168.0,0.11,0.11,6,5,1.0,20230517,8797.0,7495.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
lh,lh2305,1.1380506416926812,DCE,16680.0,17000.0,16620.0,16980.0,25238,6808134400,46694,16855.0,0.15,0.15,2,16,5.0,20230526,17715.0,15095.0,20220527,202305,090000-101500;103000-113000;133000-150000
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.15,0.15,2,20,1.0,20230314,2691.0,2029.0,20220315,202303,090000-101500;103000-113000;133000-150000
lu,lu2304,1.0,SHFE,4288.0,4300.0,4192.0,4209.0,49029,2074069560,16721,4230.0,0.15,0.15,6,10,1.0,20230331,4761.0,3666.0,20220401,202304,210000-230000;090000-101500;103000-113000;133000-150000
m,m2305,1.0,DCE,3849.0,3921.0,3838.0,3882.0,720835,28008976650,1307973,3885.0,0.1,0.1,6,10,1.0,20230517,4152.0,3538.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
MA,MA305,1.0,CZCE,2610.0,2610.0,2546.0,2553.0,1376079,3548907741,1300799,2579.0,0.08,0.08,6,10,1.0,20230517,2799.0,2431.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ni,ni2303,1.0,SHFE,215280.0,216180.0,207120.0,208500.0,136890,28953106440,65556,211500.0,0.19,0.19,4,1,10.0,20230315,252740.0,179290.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
nr,nr2305,1.0,SHFE,9795.0,9845.0,9740.0,9820.0,30035,2941174000,56707,9790.0,0.1,0.1,6,10,5.0,20230515,10625.0,9050.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
OI,OI305,1.0,CZCE,9771.0,9920.0,9747.0,9836.0,395156,3881222232,240666,9822.0,0.09,0.09,6,10,1.0,20230517,10643.0,9065.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
p,p2305,1.0,DCE,7882.0,7972.0,7800.0,7802.0,634989,50073829900,463043,7884.0,0.12,0.12,6,10,2.0,20230517,8686.0,7110.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
pb,pb2303,1.0,SHFE,15295.0,15330.0,15190.0,15255.0,57952,4416575400,60843,15240.0,0.14,0.14,4,5,5.0,20230315,17185.0,13500.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
PF,PF304,1.0,CZCE,7122.0,7122.0,7042.0,7052.0,207223,1467138840,315655,7080.0,0.08,0.08,6,5,2.0,20230417,7628.0,6628.0,20220419,202304,210000-230000;090000-101500;103000-113000;133000-150000
pg,pg2303,1.0,DCE,4830.0,4915.0,4763.0,4770.0,117725,11412586120,57481,4847.0,0.13,0.13,6,20,1.0,20230328,5341.0,4283.0,20220329,202303,210000-230000;090000-101500;103000-113000;133000-150000
PK,PK304,1.0,CZCE,10750.0,10836.0,10684.0,10736.0,69657,748394808,100374,10744.0,0.08,0.08,2,5,2.0,20230417,11358.0,9870.0,20220419,202304,090000-101500;103000-113000;133000-150000
