Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2203,1.0,DCE,5864.0,5899.0,5854.0,5869.0,117213,6886098200,149976,5874.0,0.12,0.12,6,10,1.0,20220314,6354.0,5414.0,20210315,202203,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2206,1.0,SHFE,4621.0,4668.0,4596.0,4613.0,654082,45484238200,544029,4635.0,0.12,0.12,3,15,1.0,20220615,5241.0,4288.0,20210616,202206,210000-023000;090000-101500;103000-113000;133000-150000
al,al2202,1.0,SHFE,20805.0,21405.0,20685.0,21130.0,372062,39069000200,204166,21000.0,0.1,0.1,4,5,5.0,20220215,22300.0,18995.0,20210208,202202,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP205,1.0,CZCE,8180.0,8850.0,8172.0,8634.0,341891,29032396900,166268,8492.0,0.15,0.15,2,10,1.0,20220518,8876.0,7410.0,20210520,202205,090000-101500;103000-113000;133000-150000
au,au2202,1.0,SHFE,369.0,369.84,368.02,368.14,87693,32335525500,43436,368.72,0.1,0.1,3,1000,0.02,20220215,395.82,351.0,20210118,202202,210000-023000;090000-101500;103000-113000;133000-150000
b,b2202,1.0,DCE,4334.0,4366.0,4314.0,4336.0,25041,1086984100,18281,4340.0,0.09,0.09,6,10,1.0,20220218,4707.0,4011.0,20210222,202202,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2201,1.0,DCE,,,,373.3,0,0,0,373.3,0.4,0.4,2,500,0.05,20220117,410.6,336.0,20210118,202201,090000-101500;103000-113000;133000-150000
bc,bc2203,1.0,SHFE,61940.0,62200.0,61460.0,61960.0,10284,3175315300,6872,61750.0,0.1,0.1,4,5,10.0,20220315,67500.0,57500.0,20210316,202203,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2206,1.0,SHFE,3370.0,3438.0,3366.0,3416.0,512588,17447057200,516541,3402.0,0.1,0.1,6,10,2.0,20220615,3584.0,3054.0,20200616,202206,210000-230000;090000-101500;103000-113000;133000-150000
c,c2205,1.0,DCE,2677.0,2686.0,2670.0,2682.0,362308,9698652200,1033416,2676.0,0.11,0.11,6,10,1.0,20220518,2876.0,2500.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF205,1.0,CZCE,20950.0,21135.0,20905.0,21010.0,197751,20765721300,442532,21000.0,0.1,0.1,6,5,5.0,20220518,22850.0,19070.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ205,1.0,CZCE,13050.0,13330.0,12830.0,13100.0,24028,1574260400,48637,13105.0,0.18,0.18,2,5,5.0,20220518,14465.0,11835.0,20210520,202205,090000-101500;103000-113000;133000-150000
cs,cs2203,1.0,DCE,2986.0,3020.0,2984.0,3018.0,96786,2907790400,118822,3004.0,0.07,0.07,6,10,1.0,20220314,3180.0,2820.0,20210315,202203,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2202,1.0,SHFE,69400.0,69800.0,69000.0,69520.0,81771,28350873000,115000,69340.0,0.1,0.1,4,5,10.0,20220215,75480.0,64290.0,20210208,202202,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY205,1.0,CZCE,28285.0,28555.0,28210.0,28530.0,2074,294435200,2960,28395.0,0.1,0.1,6,5,5.0,20220518,30800.0,25710.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2202,1.0,DCE,8505.0,8740.0,8403.0,8645.0,224498,9631734900,119269,8580.0,0.12,0.12,6,5,1.0,20220223,9270.0,7586.0,20210224,202202,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2205,1.0,DCE,5190.0,5304.0,5138.0,5278.0,351342,18328812800,244782,5216.0,0.11,0.11,6,10,1.0,20220526,5482.0,4670.0,20210527,202205,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2202,1.0,DCE,1325.0,1327.0,1309.0,1309.0,2154,28358700,1035,1316.5,0.1,0.1,2,10,0.5,20220218,1389.5,1257.5,20210222,202202,090000-101500;103000-113000;133000-150000
FG,FG205,1.0,CZCE,1806.0,1857.0,1805.0,1854.0,356892,13044207600,231007,1827.0,0.15,0.15,6,20,1.0,20220518,1946.0,1592.0,20210520,202205,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2205,1.0,SHFE,2906.0,2963.0,2903.0,2962.0,400086,11758398900,394092,2938.0,0.1,0.1,6,10,1.0,20220429,3083.0,2626.0,20210506,202205,210000-230000;090000-101500;103000-113000;133000-150000
