Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2301,1.0,DCE,5625.0,5696.0,5602.0,5675.0,119688,6780864690,85295,5665.0,0.12,0.12,6,10,1.0,20230117,6048.0,5152.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4880.0,4887.0,4815.0,4857.0,604000,43937783655,300162,4849.0,0.12,0.12,3,15,1.0,20221215,5407.0,4424.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2212,1.0,SHFE,18915.0,19210.0,18880.0,19200.0,224479,21407905125,182976,19070.0,0.12,0.12,4,5,5.0,20221215,20760.0,16985.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,8160.0,8258.0,8028.0,8234.0,182813,1492668145,162571,8165.0,0.1,0.1,2,10,1.0,20230113,8888.0,7420.0,20220118,202301,090000-101500;103000-113000;133000-150000
au,au2302,1.0,SHFE,408.36,408.44,406.82,407.42,88918,36232866540,155916,407.48,0.1,0.1,3,1000,0.02,20230215,440.44,375.18,20220118,202302,210000-023000;090000-101500;103000-113000;133000-150000
b,b2212,1.0,DCE,5198.0,5200.0,5132.0,5140.0,50362,2600713850,20240,5164.0,0.09,0.09,6,10,1.0,20221214,5606.0,4776.0,20211215,202212,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2212,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221214,440.0,360.0,20211215,202212,090000-101500;103000-113000;133000-150000
bc,bc2301,1.0,SHFE,59190.0,59280.0,58630.0,58680.0,9179,2701614450,15692,58860.0,0.12,0.12,4,5,10.0,20230116,65190.0,53340.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2301,1.0,SHFE,3610.0,3676.0,3591.0,3640.0,288674,10490897870,307214,3634.0,0.15,0.15,6,10,1.0,20230116,4106.0,3161.0,20220316,202301,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2805.0,2827.0,2800.0,2816.0,278664,7839875260,637365,2813.0,0.12,0.12,6,10,1.0,20230117,3046.0,2596.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,13450.0,13590.0,13435.0,13555.0,481274,6511637220,422051,13530.0,0.09,0.09,6,5,5.0,20230113,14495.0,12345.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,11120.0,11220.0,11040.0,11125.0,9867,109770375,26540,11125.0,0.12,0.12,2,5,5.0,20230113,12305.0,10065.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,2955.0,2978.0,2946.0,2955.0,112704,3337113910,215128,2960.0,0.09,0.09,6,10,1.0,20230117,3198.0,2780.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2212,1.0,SHFE,66210.0,66290.0,65650.0,65740.0,92310,30401673300,148056,65860.0,0.12,0.12,4,5,10.0,20221215,72950.0,59680.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,20710.0,21130.0,20710.0,21115.0,4944,103601520,3266,20955.0,0.09,0.09,6,5,5.0,20230113,22425.0,19095.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2212,1.0,DCE,8246.0,8380.0,8232.0,8281.0,286948,11899652045,122283,8293.0,0.12,0.12,6,5,1.0,20221227,9057.0,7411.0,20211229,202212,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2301,1.0,DCE,3861.0,3892.0,3828.0,3877.0,413171,15951398830,405257,3860.0,0.12,0.12,6,10,1.0,20230125,4349.0,3559.0,20220126,202301,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2301,1.0,DCE,1233.5,1240.0,1232.0,1238.0,677,8369360,1974,1236.0,0.1,0.1,2,10,0.5,20230117,1295.0,1172.0,20220118,202301,090000-101500;103000-113000;133000-150000
FG,FG301,1.0,CZCE,1375.0,1380.0,1350.0,1366.0,772138,1053968370,785443,1365.0,0.09,0.09,6,20,1.0,20230113,1495.0,1273.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2301,1.0,SHFE,2760.0,2819.0,2732.0,2797.0,595199,16582472000,302929,2786.0,0.15,0.15,6,10,1.0,20221222,3162.0,2435.0,20211224,202301,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2301,1.0,SHFE,3795.0,3815.0,3772.0,3807.0,325607,12366048830,695997,3797.0,0.13,0.13,6,10,1.0,20230116,4191.0,3360.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
i,i2301,1.0,DCE,740.0,757.5,733.5,753.5,1035180,77190199250,787880,745.5,0.13,0.13,6,100,0.5,20230117,809.5,649.5,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2212,1.0,CFFEX,6228.2,6272.2,6200.8,6215.6,62736,78196633560,175266,6220.8,0.14,0.14,11,200,0.2,20221216,6828.0,5586.8,20220418,202212,093000-113000;130000-150000
IF,IF2212,1.0,CFFEX,3833.0,3850.0,3805.0,3812.0,83229,95498212800,134291,3815.4,0.12,0.12,11,300,0.2,20221216,4196.0,3433.2,20220418,202212,093000-113000;130000-150000
IH,IH2212,1.0,CFFEX,2570.0,2577.0,2544.0,2552.4,44864,34446087960,82147,2554.4,0.12,0.12,11,300,0.2,20221216,2810.8,2300.0,20220418,202212,093000-113000;130000-150000
IM,IM2212,1.0,CFFEX,6700.6,6760.0,6631.4,6646.4,41232,55310348440,65843,6664.4,0.15,0.15,11,200,0.2,20221216,7348.6,6012.6,20220722,202212,093000-113000;130000-150000
j,j2301,1.0,DCE,2778.0,2797.0,2747.0,2786.5,23017,6380648500,32689,2772.0,0.2,0.2,6,100,0.5,20230117,3165.0,2340.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2301,1.0,DCE,4340.0,4345.0,4241.0,4256.0,121783,5214845700,140256,4282.0,0.09,0.09,2,10,1.0,20230125,4694.0,4000.0,20220126,202301,090000-101500;103000-113000;133000-150000
jm,jm2301,1.0,DCE,2172.0,2200.0,2142.0,2193.5,41773,5435768730,57240,2168.5,0.2,0.2,6,60,0.5,20230117,2470.0,1826.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
JR,JR301,1.0,CZCE,,,,,0,0,5,2858.0,0.15,0.15,2,20,1.0,20230113,3059.0,2657.0,20220118,202301,090000-101500;103000-113000;133000-150000
l,l2301,1.0,DCE,7872.0,7994.0,7840.0,7973.0,464628,18394814300,353719,7918.0,0.11,0.11,6,5,1.0,20230117,8530.0,7268.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
lh,lh2301,1.0,DCE,21500.0,21720.0,21300.0,21365.0,16168,5557915520,46579,21485.0,0.15,0.15,2,16,5.0,20230125,23390.0,19930.0,20220126,202301,090000-101500;103000-113000;133000-150000
LR,LR301,1.0,CZCE,,,,,0,0,0,2525.0,0.15,0.15,2,20,1.0,20230113,2879.0,2171.0,20220118,202301,090000-101500;103000-113000;133000-150000
lu,lu2302,1.0,SHFE,4392.0,4408.0,4214.0,4261.0,142957,6142844180,71121,4296.0,0.15,0.15,6,10,1.0,20230116,5030.0,3873.0,20220124,202302,210000-230000;090000-101500;103000-113000;133000-150000
m,m2301,1.0,DCE,4126.0,4151.0,4090.0,4109.0,1065840,43939451320,1343688,4122.0,0.1,0.1,6,10,1.0,20230117,4483.0,3819.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
MA,MA301,1.0,CZCE,2535.0,2616.0,2500.0,2598.0,2380512,6094110720,1116341,2560.0,0.08,0.08,6,10,1.0,20230113,2736.0,2378.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
