Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2211,1.0,DCE,5946.0,5965.0,5883.0,5927.0,101952,6046200610,83280,5930.0,0.12,0.12,6,10,1.0,20221114,6403.0,5455.0,20211115,202211,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4322.0,4365.0,4225.0,4234.0,894893,57652887375,532175,4294.0,0.12,0.12,3,15,1.0,20221215,4747.0,3884.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2210,0.9981412639405205,SHFE,19030.0,19250.0,18610.0,18675.0,319725,30306341625,171655,18955.0,0.12,0.12,4,5,5.0,20221017,20670.0,16915.0,20211018,202210,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP210,1.0,CZCE,9200.0,9275.0,9154.0,9180.0,91180,839311900,127050,9205.0,0.1,0.1,2,10,1.0,20221021,10032.0,8374.0,20211022,202210,090000-101500;103000-113000;133000-150000
au,au2212,1.0,SHFE,389.02,391.12,387.4,387.94,103273,40161664840,150076,388.88,0.1,0.1,3,1000,0.02,20221215,421.86,359.36,20211116,202212,210000-023000;090000-101500;103000-113000;133000-150000
b,b2210,1.0,DCE,5210.0,5281.0,5199.0,5245.0,58983,3096004810,37986,5248.0,0.09,0.09,6,10,1.0,20221021,5662.0,4824.0,20211022,202210,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2209,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20220915,440.0,360.0,20210915,202209,090000-101500;103000-113000;133000-150000
bc,bc2210,1.0,SHFE,57400.0,57770.0,55540.0,55790.0,11238,3186296150,5101,56700.0,0.12,0.12,4,5,10.0,20221017,62260.0,50940.0,20211018,202210,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2212,1.0,SHFE,3865.0,3991.0,3858.0,3936.0,568711,22312531200,460847,3923.0,0.15,0.15,6,10,1.0,20221215,4417.0,3400.0,20201216,202212,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2758.0,2808.0,2743.0,2806.0,504093,14037769750,873576,2784.0,0.12,0.12,6,10,1.0,20230117,2965.0,2527.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,15175.0,15280.0,14950.0,15080.0,627841,9477259895,470967,15095.0,0.09,0.09,6,5,5.0,20230113,16235.0,13825.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,12190.0,12410.0,12160.0,12405.0,19326,238289580,33256,12330.0,0.12,0.12,2,5,5.0,20230113,13455.0,11005.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2211,1.0,DCE,3010.0,3081.0,2990.0,3078.0,169873,5161603720,190067,3038.0,0.09,0.09,6,10,1.0,20221114,3201.0,2783.0,20211115,202211,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2210,1.0,SHFE,64210.0,64560.0,62280.0,62550.0,185856,58898752500,166219,63380.0,0.12,0.12,4,5,10.0,20221017,69670.0,57000.0,20211018,202210,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY209,1.0,CZCE,24620.0,24700.0,24050.0,24365.0,2561,62539620,1937,24420.0,0.1,0.1,6,5,5.0,20220915,26600.0,22200.0,20210915,202209,210000-230000;090000-101500;103000-113000;133000-150000
