Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2301,1.0,DCE,5581.0,5617.0,5562.0,5571.0,123729,6915675210,168620,5589.0,0.12,0.12,6,10,1.0,20230117,6027.0,5135.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4555.0,4574.0,4489.0,4527.0,637352,43256705295,418040,4524.0,0.12,0.12,3,15,1.0,20221215,5046.0,4129.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2212,1.0,SHFE,18040.0,18085.0,17480.0,17535.0,371623,33091864525,192403,17805.0,0.12,0.12,4,5,5.0,20221215,20140.0,16475.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,8349.0,8349.0,8194.0,8279.0,168708,1393865496,155184,8262.0,0.1,0.1,2,10,1.0,20230113,8928.0,7452.0,20220118,202301,090000-101500;103000-113000;133000-150000
au,au2212,1.0,SHFE,391.06,391.92,390.28,391.66,67523,26415772180,111118,391.2,0.1,0.1,3,1000,0.02,20221215,424.58,361.68,20211116,202212,210000-023000;090000-101500;103000-113000;133000-150000
b,b2212,0.9286997126436781,DCE,5137.0,5202.0,5079.0,5161.0,79095,4070416420,33569,5146.0,0.09,0.09,6,10,1.0,20221214,5584.0,4758.0,20211215,202212,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2211,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221114,440.0,360.0,20211115,202211,090000-101500;103000-113000;133000-150000
bc,bc2301,1.0,SHFE,55670.0,56130.0,54980.0,55110.0,18632,5182122850,13660,55620.0,0.12,0.12,4,5,10.0,20230116,62310.0,50980.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2212,1.0,SHFE,3777.0,3777.0,3704.0,3723.0,308702,11512227820,245620,3729.0,0.15,0.15,6,10,1.0,20221215,4314.0,3321.0,20201216,202212,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2859.0,2892.0,2840.0,2885.0,440942,12668412400,704187,2873.0,0.12,0.12,6,10,1.0,20230117,3093.0,2635.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,12790.0,12820.0,12270.0,12485.0,816698,10216891980,580017,12510.0,0.09,0.09,6,5,5.0,20230113,13925.0,11855.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,11285.0,11285.0,11005.0,11070.0,13268,147407480,28076,11110.0,0.12,0.12,2,5,5.0,20230113,12370.0,10120.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,2969.0,2987.0,2926.0,2954.0,191727,5673332230,292585,2959.0,0.09,0.09,6,10,1.0,20230117,3183.0,2767.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2212,1.0,SHFE,62730.0,62960.0,61850.0,62060.0,149926,46760773950,190869,62370.0,0.12,0.12,4,5,10.0,20221215,69810.0,57120.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,19650.0,19650.0,19000.0,19285.0,5137,98989990,4244,19270.0,0.09,0.09,6,5,5.0,20230113,21185.0,18045.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2212,1.0,DCE,7880.0,7880.0,7580.0,7643.0,323198,12442722015,186432,7699.0,0.12,0.12,6,5,1.0,20221227,8599.0,7037.0,20211229,202212,210000-230000;090000-101500;103000-113000;133000-150000
