Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5607.0,5619.0,5576.0,5594.0,81732,4573880970,163684,5596.0,0.12,0.12,6,10,1.0,20230517,6060.0,5164.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2306,1.0,SHFE,4924.0,4939.0,4852.0,4870.0,814501,59926323225,638158,4904.0,0.12,0.12,3,15,1.0,20230615,5447.0,4456.0,20220616,202306,210000-023000;090000-101500;103000-113000;133000-150000
al,al2304,1.0,SHFE,18570.0,18585.0,18320.0,18375.0,208234,19177273200,223245,18415.0,0.12,0.12,4,5,5.0,20230417,20475.0,16750.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,9207.0,9274.0,9166.0,9246.0,122723,1132733290,217161,9230.0,0.1,0.1,2,10,1.0,20230517,10008.0,8354.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2304,1.0,SHFE,412.1,413.26,411.94,412.2,83014,34243516960,107333,412.5,0.1,0.1,3,1000,0.02,20230417,444.82,378.92,20220316,202304,210000-023000;090000-101500;103000-113000;133000-150000
b,b2304,1.0,DCE,4671.0,4672.0,4598.0,4611.0,53340,2468037270,44325,4626.0,0.09,0.09,6,10,1.0,20230417,5013.0,4271.0,20220419,202304,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303,090000-101500;103000-113000;133000-150000
bc,bc2304,1.0,SHFE,61500.0,61710.0,60620.0,60680.0,12306,3768059800,4265,61230.0,0.12,0.12,4,5,10.0,20230417,68180.0,55790.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3772.0,3795.0,3732.0,3739.0,285666,10759466250,315145,3766.0,0.15,0.15,6,10,1.0,20230615,4251.0,3272.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2305,1.0,DCE,2864.0,2868.0,2835.0,2844.0,338325,9635833620,672667,2848.0,0.12,0.12,6,10,1.0,20230517,3096.0,2638.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14280.0,14360.0,14215.0,14290.0,371793,5314780935,713951,14295.0,0.07,0.07,6,5,5.0,20230517,15245.0,13515.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10670.0,10690.0,10545.0,10570.0,41852,444049720,61331,10610.0,0.12,0.12,2,5,5.0,20230517,11630.0,9510.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2305,1.0,DCE,3041.0,3050.0,3002.0,3016.0,164597,4974349810,237844,3022.0,0.09,0.09,6,10,1.0,20230517,3252.0,2828.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2304,1.0,SHFE,69120.0,69350.0,68290.0,68300.0,121453,41729837000,159665,68710.0,0.12,0.12,4,5,10.0,20230417,76500.0,62590.0,20220418,202304,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY305,1.0,CZCE,21380.0,21460.0,21255.0,21420.0,2896,61873040,3479,21365.0,0.07,0.07,6,5,5.0,20230517,22825.0,20235.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2304,1.0,DCE,8569.0,8645.0,8500.0,8502.0,192302,8260615795,159619,8591.0,0.12,0.12,6,5,1.0,20230425,9474.0,7752.0,20220427,202304,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4358.0,4388.0,4299.0,4313.0,306336,13315266670,365510,4346.0,0.12,0.12,6,10,1.0,20230526,4774.0,3906.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2305,0.9866404715127701,DCE,1254.0,1258.5,1249.0,1249.0,742,9294900,1249,1252.5,0.1,0.1,2,10,0.5,20230517,1318.0,1193.0,20220519,202305,090000-101500;103000-113000;133000-150000
