Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5205.0,5278.0,5205.0,5250.0,105790,5545910520,154026,5242.0,0.12,0.12,6,10,1.0,20230518,5646.0,4810.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2302,1.0,SHFE,5200.0,5273.0,5174.0,5224.0,983739,77124567480,354260,5226.0,0.12,0.12,3,15,1.0,20230215,5767.0,4718.0,20220216,202302,210000-023000;090000-101500;103000-113000;133000-150000
al,al2301,1.0,SHFE,18755.0,18820.0,18510.0,18540.0,161793,15098900375,133622,18660.0,0.12,0.12,4,5,5.0,20230116,20615.0,16870.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,7910.0,7945.0,7822.0,7864.0,123710,974587380,183469,7878.0,0.1,0.1,2,10,1.0,20230512,8646.0,7218.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2302,1.0,SHFE,403.7,406.36,403.08,405.3,99517,40263340360,140301,404.58,0.1,0.1,3,1000,0.02,20230215,434.52,370.14,20220118,202302,210000-023000;090000-101500;103000-113000;133000-150000
b,b2301,1.0,DCE,4925.0,4939.0,4867.0,4883.0,48933,2396906420,23924,4898.0,0.09,0.09,6,10,1.0,20230117,5352.0,4560.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2301,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230117,440.0,360.0,20220118,202301,090000-101500;103000-113000;133000-150000
bc,bc2302,1.0,SHFE,58020.0,58950.0,57900.0,58110.0,13892,4050536650,13140,58310.0,0.12,0.12,4,5,10.0,20230215,64440.0,52730.0,20220216,202302,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2302,1.0,SHFE,3605.0,3645.0,3555.0,3580.0,290328,10432734150,155584,3593.0,0.15,0.15,6,10,1.0,20230215,4080.0,3141.0,20220316,202302,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2818.0,2818.0,2785.0,2787.0,321025,8991591250,778713,2800.0,0.12,0.12,6,10,1.0,20230314,3033.0,2585.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14100.0,14140.0,13680.0,13775.0,839330,11637310450,727577,13865.0,0.07,0.07,6,5,5.0,20230512,15025.0,13315.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10900.0,10970.0,10270.0,10310.0,37816,401038680,32530,10605.0,0.12,0.12,2,5,5.0,20230512,12010.0,9820.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,2906.0,2921.0,2855.0,2874.0,138320,3989660930,151101,2884.0,0.09,0.09,6,10,1.0,20230117,3119.0,2711.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2301,1.0,SHFE,65050.0,65950.0,64910.0,65110.0,76102,24854675550,123414,65310.0,0.12,0.12,4,5,10.0,20230116,72000.0,58910.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,20920.0,21120.0,20625.0,20675.0,4392,91683000,1727,20875.0,0.1,0.1,6,5,5.0,20230113,22925.0,19525.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2301,1.0,DCE,8155.0,8205.0,8015.0,8050.0,215098,8731552855,99544,8118.0,0.12,0.12,6,5,1.0,20230125,9070.0,7422.0,20220126,202301,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2301,1.0,DCE,4068.0,4129.0,3979.0,4010.0,352928,14361045820,128938,4069.0,0.12,0.12,6,10,1.0,20230125,4503.0,3685.0,20220126,202301,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2301,1.0,DCE,1198.5,1205.0,1191.5,1194.0,1004,11996760,2311,1194.5,0.1,0.1,2,10,0.5,20230117,1263.0,1143.0,20220118,202301,090000-101500;103000-113000;133000-150000
FG,FG305,1.0,CZCE,1576.0,1579.0,1539.0,1548.0,1183090,1839704950,692820,1555.0,0.09,0.09,6,20,1.0,20230512,1726.0,1470.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2305,1.0,SHFE,2506.0,2522.0,2417.0,2432.0,1550691,38308203250,557242,2470.0,0.15,0.15,6,10,1.0,20230428,2908.0,2239.0,20220505,202305,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2305,1.0,SHFE,4106.0,4106.0,3975.0,3981.0,589438,23691714630,744180,4019.0,0.13,0.13,6,10,1.0,20230515,4585.0,3676.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
i,i2305,1.0,DCE,821.0,821.5,792.0,793.5,1091943,87732273450,774077,803.0,0.13,0.13,6,100,0.5,20230518,914.5,733.5,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2301,1.0,CFFEX,6087.8,6111.6,5928.0,5971.8,54402,65358238480,103258,5950.8,0.14,0.14,11,200,0.2,20230120,6692.6,5475.8,20221121,202301,093000-113000;130000-150000
IF,IF2301,1.0,CFFEX,3971.0,3989.8,3895.4,3910.8,74370,87869986260,93505,3906.8,0.12,0.12,11,300,0.2,20230120,4360.4,3567.6,20221121,202301,093000-113000;130000-150000
IH,IH2301,1.0,CFFEX,2703.2,2712.0,2645.0,2655.6,48106,38619336060,67130,2653.2,0.12,0.12,11,300,0.2,20230120,2962.0,2423.6,20221121,202301,093000-113000;130000-150000
IM,IM2301,1.0,CFFEX,6524.0,6553.6,6377.2,6417.0,31461,40618647320,44445,6398.4,0.15,0.15,11,200,0.2,20230120,7160.2,5858.6,20221121,202301,093000-113000;130000-150000
