Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5172.0,5223.0,5170.0,5202.0,129558,6738131740,164128,5200.0,0.12,0.12,6,10,1.0,20230517,5580.0,4754.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2302,1.0,SHFE,5379.0,5400.0,5327.0,5356.0,573023,46103077140,220284,5363.0,0.12,0.12,3,15,1.0,20230215,5879.0,4810.0,20220216,202302,210000-023000;090000-101500;103000-113000;133000-150000
al,al2302,1.0,SHFE,19060.0,19120.0,18735.0,18785.0,238317,22570904700,154726,18940.0,0.12,0.12,4,5,5.0,20230215,20795.0,17010.0,20220216,202302,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,7914.0,7914.0,7780.0,7853.0,121350,951262650,173078,7839.0,0.1,0.1,2,10,1.0,20230517,8618.0,7194.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2302,1.0,SHFE,408.86,412.48,407.48,408.6,78312,32062443440,76277,409.4,0.1,0.1,3,1000,0.02,20230215,439.84,374.66,20220118,202302,210000-023000;090000-101500;103000-113000;133000-150000
b,b2301,1.0,DCE,5177.0,5177.0,5095.0,5127.0,28329,1452558000,9961,5127.0,0.1,0.1,6,10,1.0,20230116,5498.0,4684.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2301,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230116,440.0,360.0,20220118,202301,090000-101500;103000-113000;133000-150000
bc,bc2302,1.0,SHFE,59960.0,59960.0,59010.0,59240.0,3713,1102819350,5539,59400.0,0.12,0.12,4,5,10.0,20230215,65130.0,53280.0,20220216,202302,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3800.0,3848.0,3793.0,3843.0,181346,6928390690,403629,3820.0,0.15,0.15,6,10,1.0,20230615,4289.0,3302.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2795.0,2823.0,2791.0,2822.0,345918,9713029750,717720,2807.0,0.12,0.12,6,10,1.0,20230314,3002.0,2558.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14200.0,14290.0,14115.0,14230.0,504878,7179365160,754391,14220.0,0.07,0.07,6,5,5.0,20230517,15025.0,13315.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10230.0,10310.0,10150.0,10260.0,21418,219320320,42484,10240.0,0.12,0.12,2,5,5.0,20230517,11310.0,9250.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2303,1.0,DCE,2902.0,2949.0,2902.0,2943.0,135187,3968494010,174953,2935.0,0.09,0.09,6,10,1.0,20230314,3084.0,2682.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2302,1.0,SHFE,66810.0,66820.0,66190.0,66440.0,50067,16652503700,103242,66520.0,0.12,0.12,4,5,10.0,20230215,72960.0,59690.0,20220216,202302,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY301,1.0,CZCE,20895.0,21265.0,20820.0,21060.0,1918,40431440,802,21080.0,0.1,0.1,6,5,5.0,20230116,22450.0,19120.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2302,1.0,DCE,8412.0,8417.0,8284.0,8351.0,212855,8886601110,202891,8349.0,0.12,0.12,6,5,1.0,20230223,9207.0,7533.0,20220224,202302,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4157.0,4182.0,4125.0,4167.0,258040,10720324720,293056,4154.0,0.12,0.12,6,10,1.0,20230526,4571.0,3741.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2301,1.0,DCE,1180.5,1187.0,1178.5,1185.0,1620,19178230,1173,1183.5,0.1,0.1,2,10,0.5,20230116,1244.0,1126.0,20220118,202301,090000-101500;103000-113000;133000-150000
FG,FG305,1.0,CZCE,1633.0,1661.0,1617.0,1656.0,1158971,1899553469,751544,1639.0,0.09,0.09,6,20,1.0,20230517,1743.0,1483.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2305,1.0,SHFE,2766.0,2766.0,2699.0,2736.0,902871,24646664370,333978,2729.0,0.15,0.15,6,10,1.0,20230428,3108.0,2393.0,20220505,202305,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2305,1.0,SHFE,4098.0,4103.0,4045.0,4077.0,280650,11435961520,791847,4074.0,0.13,0.13,6,10,1.0,20230515,4523.0,3626.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
i,i2305,1.0,DCE,837.5,838.5,825.0,835.5,569096,47367799850,859385,832.0,0.13,0.13,6,100,0.5,20230517,920.5,738.5,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2301,1.0,CFFEX,5887.0,5905.0,5863.2,5882.4,32425,38127698400,98671,5879.0,0.14,0.14,11,200,0.2,20230120,6489.4,5309.8,20221121,202301,093000-113000;130000-150000
IF,IF2301,1.0,CFFEX,3889.2,3897.4,3868.4,3885.0,48467,56473788060,87009,3885.0,0.12,0.12,11,300,0.2,20230120,4291.4,3511.4,20221121,202301,093000-113000;130000-150000
IH,IH2301,1.0,CFFEX,2637.2,2656.6,2629.0,2647.4,33934,26922518700,62654,2647.6,0.12,0.12,11,300,0.2,20230120,2908.4,2379.6,20221121,202301,093000-113000;130000-150000
IM,IM2301,1.0,CFFEX,6310.0,6318.4,6263.8,6293.4,22558,28375551000,45214,6282.8,0.15,0.15,11,200,0.2,20230120,6962.4,5696.8,20221121,202301,093000-113000;130000-150000
j,j2305,1.0,DCE,2756.5,2760.0,2651.0,2687.0,33701,9098449600,29221,2699.5,0.2,0.2,6,100,0.5,20230517,3154.0,2332.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
jd,jd2305,1.0,DCE,4308.0,4311.0,4266.0,4297.0,59494,2553077230,117791,4291.0,0.09,0.09,2,10,1.0,20230526,4639.0,3953.0,20220527,202305,090000-101500;103000-113000;133000-150000
