Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2301,1.0,DCE,5630.0,5630.0,5593.0,5617.0,62548,3511523450,93727,5614.0,0.12,0.12,6,10,1.0,20230117,6085.0,5185.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2212,1.0,SHFE,4899.0,4983.0,4886.0,4956.0,732375,54353695515,352817,4947.0,0.12,0.12,3,15,1.0,20221215,5410.0,4427.0,20211216,202212,210000-023000;090000-101500;103000-113000;133000-150000
al,al2212,1.0,SHFE,18775.0,18975.0,18710.0,18925.0,192171,18095413400,180001,18830.0,0.12,0.12,4,5,5.0,20221215,20790.0,17010.0,20211216,202212,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP301,1.0,CZCE,8100.0,8210.0,8080.0,8168.0,142989,1166361273,162073,8157.0,0.1,0.1,2,10,1.0,20230113,8872.0,7406.0,20220118,202301,090000-101500;103000-113000;133000-150000
au,au2302,1.0004930237144407,SHFE,404.0,407.0,403.78,404.96,83648,33912533840,142435,405.4,0.1,0.1,3,1000,0.02,20230215,438.32,373.38,20220118,202302,210000-023000;090000-101500;103000-113000;133000-150000
b,b2212,1.0,DCE,5240.0,5247.0,5180.0,5212.0,52550,2741161680,24253,5216.0,0.09,0.09,6,10,1.0,20221214,5703.0,4859.0,20211215,202212,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2212,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20221214,440.0,360.0,20211215,202212,090000-101500;103000-113000;133000-150000
bc,bc2301,1.0,SHFE,59610.0,60290.0,59520.0,60150.0,10327,3095445250,15834,59940.0,0.12,0.12,4,5,10.0,20230116,66730.0,54600.0,20220118,202301,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2301,1.0,SHFE,3722.0,3724.0,3621.0,3656.0,441094,16146267380,310248,3660.0,0.15,0.15,6,10,1.0,20230116,4255.0,3276.0,20220316,202301,210000-230000;090000-101500;103000-113000;133000-150000
c,c2301,1.0,DCE,2853.0,2864.0,2833.0,2840.0,336795,9598268120,594528,2849.0,0.12,0.12,6,10,1.0,20230117,3099.0,2641.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF301,1.0,CZCE,13180.0,13405.0,13120.0,13395.0,564967,7499936925,472375,13275.0,0.09,0.09,6,5,5.0,20230113,14390.0,12250.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ301,1.0,CZCE,11150.0,11280.0,11090.0,11260.0,9838,110136410,26449,11195.0,0.12,0.12,2,5,5.0,20230113,12420.0,10160.0,20220118,202301,090000-101500;103000-113000;133000-150000
cs,cs2301,1.0,DCE,3025.0,3056.0,3013.0,3030.0,134969,4097664240,204235,3036.0,0.09,0.09,6,10,1.0,20230117,3258.0,2832.0,20220118,202301,210000-230000;090000-101500;103000-113000;133000-150000
