Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5578.0,5600.0,5564.0,5571.0,94485,5275333990,131417,5583.0,0.12,0.12,6,10,1.0,20230517,5963.0,5081.0,20220519,202305
ag,ag2306,1.0,SHFE,4797.0,4830.0,4758.0,4776.0,692784,49887825285,667925,4800.0,0.12,0.12,3,15,1.0,20230615,5270.0,4311.0,20220616,202306
al,al2304,1.0,SHFE,18475.0,18570.0,18215.0,18265.0,187533,17222972550,196068,18365.0,0.12,0.12,4,5,5.0,20230417,20365.0,16660.0,20220418,202304
AP,AP305,1.0,CZCE,8845.0,9100.0,8833.0,9082.0,222578,1996302082,201296,8969.0,0.1,0.1,2,10,1.0,20230517,9779.0,8163.0,20220519,202305
au,au2304,1.0,SHFE,414.96,417.14,414.4,416.76,53450,22241557540,50636,416.1,0.1,0.1,3,1000,0.02,20230417,447.08,380.86,20220316,202304
b,b2304,1.0,DCE,4537.0,4582.0,4480.0,4486.0,56375,2555141270,35836,4532.0,0.09,0.09,6,10,1.0,20230417,4904.0,4178.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.0,SHFE,61840.0,62110.0,61230.0,61250.0,6755,2082597850,12808,61660.0,0.12,0.12,4,5,10.0,20230515,67990.0,55620.0,20220517,202305
bu,bu2306,1.0,SHFE,3918.0,3963.0,3867.0,3889.0,374319,14635475290,359864,3909.0,0.15,0.15,6,10,1.0,20230615,4413.0,3398.0,20210616,202306
c,c2305,1.0,DCE,2845.0,2855.0,2840.0,2850.0,218459,6224939880,638224,2849.0,0.12,0.12,6,10,1.0,20230517,3069.0,2615.0,20220519,202305
CF,CF305,1.0,CZCE,14530.0,14590.0,14275.0,14340.0,566060,8171076100,610771,14435.0,0.07,0.07,6,5,5.0,20230517,15500.0,13740.0,20220519,202305
CJ,CJ305,1.0,CZCE,10050.0,10110.0,9775.0,9820.0,48675,483342750,57272,9930.0,0.12,0.12,2,5,5.0,20230517,11140.0,9110.0,20220519,202305
cs,cs2305,1.0,DCE,3090.0,3120.0,3088.0,3094.0,117740,3656988230,173295,3105.0,0.09,0.09,6,10,1.0,20230517,3306.0,2874.0,20220519,202305
cu,cu2304,1.0,SHFE,69380.0,69700.0,68800.0,68810.0,70261,24290989500,143690,69140.0,0.12,0.12,4,5,10.0,20230417,76230.0,62370.0,20220418,202304
CY,CY305,1.0,CZCE,21700.0,21700.0,21205.0,21235.0,4842,103957740,2873,21470.0,0.07,0.07,6,5,5.0,20230517,23185.0,20555.0,20220519,202305
eb,eb2304,1.0,DCE,8530.0,8538.0,8352.0,8364.0,215868,9105498225,150408,8436.0,0.12,0.12,6,5,1.0,20230425,9347.0,7649.0,20220427,202304
eg,eg2305,1.0,DCE,4158.0,4199.0,4112.0,4113.0,338779,14067921900,431353,4152.0,0.12,0.12,6,10,1.0,20230526,4599.0,3763.0,20220527,202305
fb,fb2305,1.0,DCE,1241.0,1241.0,1229.5,1232.5,928,11449465,1770,1233.5,0.1,0.1,2,10,0.5,20230517,1297.0,1174.0,20220519,202305
FG,FG305,1.0,CZCE,1575.0,1609.0,1572.0,1587.0,1322635,2106957555,845778,1593.0,0.09,0.09,6,20,1.0,20230517,1693.0,1441.0,20220519,202305
fu,fu2305,1.0,SHFE,3021.0,3087.0,2941.0,2942.0,1459251,43916603890,318635,3009.0,0.15,0.15,6,10,1.0,20230428,3404.0,2621.0,20220505,202305
hc,hc2305,1.0,SHFE,4400.0,4433.0,4394.0,4396.0,365326,16132207660,895655,4415.0,0.13,0.13,6,10,1.0,20230515,4837.0,3878.0,20220517,202305
i,i2305,1.0,DCE,919.0,932.5,909.0,910.0,768841,71109936050,846580,924.5,0.13,0.13,6,100,0.5,20230517,1008.5,809.5,20220519,202305
IC,IC2303,1.0,CFFEX,6246.2,6262.4,6190.0,6203.0,50820,63236716760,101305,6208.2,0.14,0.14,11,200,0.2,20230317,6907.2,5651.6,20220718,202303
IF,IF2303,1.0,CFFEX,3996.8,4011.0,3962.2,3965.6,74361,88937863920,92959,3972.0,0.12,0.12,11,300,0.2,20230317,4427.0,3622.2,20220718,202303
IH,IH2303,1.0,CFFEX,2650.0,2672.6,2634.6,2637.6,46774,37223277660,66691,2641.8,0.12,0.12,11,300,0.2,20230317,2943.2,2408.4,20220718,202303
IM,IM2303,1.0,CFFEX,6840.8,6863.8,6787.6,6798.4,38784,52924741600,59243,6805.8,0.15,0.15,11,200,0.2,20230317,7565.8,6190.2,20220722,202303
j,j2305,1.0,DCE,2887.5,2952.5,2878.5,2891.5,43459,12686415550,37229,2919.0,0.2,0.2,6,100,0.5,20230517,3286.0,2429.0,20220519,202305
jd,jd2305,1.0,DCE,4396.0,4399.0,4360.0,4387.0,64759,2837945380,120243,4382.0,0.09,0.09,2,10,1.0,20230526,4757.0,4053.0,20220527,202305
jm,jm2305,1.0,DCE,1975.0,2014.5,1952.5,1955.5,70010,8349487980,75505,1987.5,0.2,0.2,6,60,0.5,20230517,2248.5,1662.5,20220519,202305
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.2,0.2,2,20,1.0,20230314,3035.0,2289.0,20220315,202303
l,l2305,1.0,DCE,8227.0,8269.0,8182.0,8184.0,287927,11832174005,372262,8218.0,0.11,0.11,6,5,1.0,20230517,8889.0,7573.0,20220519,202305
lh,lh2305,1.0,DCE,16305.0,16420.0,15925.0,15925.0,29549,7637825360,53377,16150.0,0.15,0.15,2,16,5.0,20230526,17685.0,15065.0,20220527,202305
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.2,0.2,2,20,1.0,20230314,2691.0,2029.0,20220315,202303
lu,lu2305,1.0,SHFE,4035.0,4073.0,3871.0,3875.0,80176,3187081370,22424,3975.0,0.15,0.15,6,10,1.0,20230428,4543.0,3498.0,20220505,202305
m,m2305,1.0,DCE,3828.0,3845.0,3795.0,3799.0,609399,23276391150,1170702,3819.0,0.1,0.1,6,10,1.0,20230517,4116.0,3508.0,20220519,202305
MA,MA305,1.0,CZCE,2576.0,2605.0,2538.0,2541.0,1523231,3922319825,1379951,2575.0,0.08,0.08,6,10,1.0,20230517,2754.0,2392.0,20220519,202305
ni,ni2304,1.0,SHFE,185670.0,186790.0,179580.0,179670.0,131329,24055265820,81812,183160.0,0.19,0.19,4,1,10.0,20230417,218870.0,155260.0,20220418,202304
nr,nr2306,1.0,SHFE,9930.0,9975.0,9770.0,9795.0,43464,4286589000,57696,9860.0,0.1,0.1,6,10,5.0,20230615,10780.0,9185.0,20220616,202306
OI,OI305,1.0,CZCE,9573.0,9594.0,9209.0,9227.0,562581,5272509132,304440,9372.0,0.09,0.09,6,10,1.0,20230517,10384.0,8844.0,20220519,202305
p,p2305,1.0,DCE,8074.0,8126.0,7872.0,7912.0,791138,63204161780,464141,7988.0,0.12,0.12,6,10,2.0,20230517,8854.0,7246.0,20220519,202305
